user_id,step,task_id,category_id,nuance,difficulty,correct_probability,is_correct,mastery_before,mastery_after,action,selection_method,next_category,next_task_id,retrieval_status
growing_student,8,opt_profit_03,optimization,profit_maximization,5,0.18,0,0.0,0.0,hint_and_retrieve_similar,retrieval,optimization,opt_profit_02,ok
growing_student,9,opt_profit_02,optimization,profit_maximization,5,0.18,0,0.0,0.0,hint_and_retrieve_similar,retrieval,optimization,opt_invest_03,ok
growing_student,10,opt_invest_03,optimization,investment_strategy,5,0.18,0,0.0,0.0,hint_and_retrieve_similar,retrieval,optimization,opt_invest_02,ok
growing_student,11,opt_invest_02,optimization,investment_strategy,5,0.18,0,0.0,0.0,hint_and_retrieve_similar,retrieval,optimization,opt_invest_01,ok
growing_student,12,opt_invest_01,optimization,investment_strategy,5,0.18,0,0.0,0.0,hint_and_retrieve_similar,retrieval,optimization,opt_profit_01,ok
strong_student,1,annuity_irregular_02,credit_annuity,irregular_schedule,3,0.88,0,0.6,0.5,hint_and_retrieve_similar,retrieval,credit_annuity,annuity_irregular_04,ok
strong_student,2,annuity_irregular_04,credit_annuity,irregular_schedule,3,0.86,0,0.5,0.4,hint_and_retrieve_similar,retrieval,credit_annuity,annuity_irregular_01,ok
strong_student,3,annuity_irregular_01,credit_annuity,irregular_schedule,3,0.84,1,0.4,0.55,advance,graph_and_mastery,credit_mixed,mixed_table_03,
strong_student,4,mixed_table_03,credit_mixed,table_given,4,0.62,0,0.3,0.2,hint_and_retrieve_similar,retrieval,credit_mixed,mixed_table_04,ok
strong_student,5,mixed_table_04,credit_mixed,table_given,4,0.6,1,0.2,0.35,advance,graph_and_mastery,optimization,opt_alloc_03,
strong_student,6,opt_alloc_03,optimization,production_allocation,5,0.45,1,0.25,0.4,advance,graph_and_mastery,credit_mixed,mixed_table_02,
strong_student,7,mixed_table_02,credit_mixed,table_given,4,0.63,1,0.35,0.5,advance,graph_and_mastery,optimization,opt_alloc_04,
strong_student,8,opt_alloc_04,optimization,production_allocation,5,0.48,0,0.4,0.3,hint_and_retrieve_similar,retrieval,optimization,opt_profit_04,ok
strong_student,9,opt_profit_04,optimization,profit_maximization,5,0.46,1,0.3,0.45,repeat,graph_and_mastery,optimization,opt_alloc_01,
strong_student,10,opt_alloc_01,optimization,production_allocation,5,0.49,1,0.45,0.6,advance,graph_and_mastery,credit_mixed,mixed_table_03,
strong_student,11,mixed_table_03,credit_mixed,table_given,4,0.66,0,0.5,0.4,hint_and_retrieve_similar,retrieval,credit_mixed,mixed_hybrid_03,ok
strong_student,12,mixed_hybrid_03,credit_mixed,hybrid_diff_annuity,5,0.56,0,0.4,0.3,hint_and_retrieve_similar,retrieval,credit_mixed,mixed_hybrid_02,ok
